SRR_id,Total_aligned,Non_aligned,Unique_aligned,Multimaped,Time(min),Total_reads,Type,aligner
SRR9126859,,,,,,,,
SRR9126859,0.8062669243172685,0.19373307568273143,0.6833111941508194,0.12295573016644912,106.23333333333333,23442600,PR,star
SRR9126859,0.7951999999999999,0.2048474145359303,0.6637531246534087,0.13139946081066092,29.58283965,23442600,UN,hisat
SRR9126859,0.9001161987151596,0.09988380128484042,0.7129696791311544,0.1871465195840052,35.983333333333334,23442600,UN,star
SRR9126934,0.8079000000000001,0.43017748324232985,0.4784269987935975,0.05740033284311133,29.582911799999998,50881029,PR,hisat
SRR9126934,0.7825872382843321,0.21741276171566792,0.7011895807415277,0.08139765754280442,89.43333333333334,30677615,PR,star
SRR9126934,0.8119,0.18807987517934494,0.6884033194888195,0.12351680533183561,29.582903299999998,30677615,UN,hisat
SRR9126934,0.9031852052384124,0.09681479476158757,0.744134151236985,0.15905105400142744,38.733333333333334,30677615,UN,star
SRR9127010,,,,,,,,
SRR9127010,0.8171365302336019,0.1828634697663981,0.7078287849150788,0.10930774531852305,131.73333333333332,32592759,PR,star
SRR9127010,0.8222,0.17780219219858007,0.6889060235741319,0.13329178422728802,29.58294696666667,32592759,UN,hisat
SRR9127010,0.9160394184487419,0.08396058155125806,0.7395469343359364,0.17649248411280555,46.03333333333333,32592759,UN,star
SRR9127157,0.8104,0.42970556554680317,0.4686674484137412,0.06874471964546756,29.582943399999998,37411077,PR,hisat
SRR9127157,0.7622472231932608,0.2377527768067392,0.6862066575568933,0.07604056563636755,51.63333333333333,21772221,PR,star
SRR9127157,0.8140000000000001,0.186001648614535,0.6751108671917302,0.13888748419373476,29.582940016666665,21772221,UN,hisat
SRR9127157,0.9072133706524474,0.09278662934755255,0.7320684463013672,0.1751449243510802,22.2,21772221,UN,star
SRR9127293,0.8484,0.37434876334004746,0.5354284308855384,0.056467048400226524,29.582945533333334,48245518,PR,hisat
SRR9127293,0.8238059739572101,0.17619402604278991,0.7458262695662076,0.07797970439100255,84.28333333333333,30807452,PR,star
SRR9127293,0.8549,0.14506866715235003,0.7383632375699231,0.11656809527772696,29.58292905,30807452,UN,hisat
SRR9127293,0.9343341994008463,0.06566580059915374,0.7831053993040386,0.15122880009680775,29.933333333333334,30807452,UN,star
SRR9127296,0.8188,0.4155210308932283,0.4978038957904355,0.05441177395302627,29.5829279,8269644,PR,hisat
SRR9127296,0.786378151492123,0.21362184850787702,0.7197956821161805,0.06658246937594255,11.883333333333333,5079340,PR,star
SRR9127296,0.8251999999999999,0.17484338516421424,0.7117458173699732,0.1134107974658125,29.582932066666668,5079340,UN,hisat
SRR9127296,0.9099505053806203,0.09004949461937968,0.7688518587060523,0.14109864667456795,4.816666666666666,5079340,UN,star
SRR9127369,0.7472,0.5031630675171223,0.4126792730306793,0.05161485645444119,29.582969166666665,39210513,PR,hisat
SRR9127369,0.72834672742173,0.27165327257826993,0.652642450435285,0.07570427698644502,50.86666666666667,22060603,PR,star
SRR9127369,0.7517,0.2482507391117097,0.6279460720090018,0.12380318887928857,29.582966983333332,22060603,UN,hisat
SRR9127369,0.8605790603275895,0.1394209396724106,0.7034338544599166,0.1571452058676728,25.583333333333332,22060603,UN,star
SRR9127396,0.8643000000000001,0.3476981841873934,0.5544204631642352,0.05550318509461072,29.582991900000003,49420353,PR,hisat
SRR9127396,0.8636998024072728,0.13630019759272718,0.765525989993199,0.09817381241407386,118.68333333333334,32925807,PR,star
SRR9127396,0.8785,0.12146748597536274,0.7571713580171323,0.121361156007505,29.582928733333333,32925807,UN,hisat
SRR9127396,0.9415173331970269,0.05848266680297312,0.7902155594849961,0.1513017737120308,40.983333333333334,32925807,UN,star
